review_id,text,sentiment,category
1,"Matériel de qualité professionnelle, très simple à utiliser.",Positif,Produit
2,Tarif standard sans réduction particulière.,Neutre,Prix
3,"Pour ma part, Arrivé pile à l'heure, rien à redire sur le transport.",Positif,Livraison
4,Je suis surpris de la qualité pour un prix aussi bas.,Positif,Prix
5,"Honnêtement, Temps de livraison moyen, emballage standard.",Neutre,Livraison
6,"Pour ma part, Le conseiller a fait ce qu'il pouvait sans plus.",Neutre,Service Client
7,Livré avec un jour de retard mais carton intact.,Neutre,Livraison
8,J'attends une réponse du support par mail depuis deux semaines.,Négatif,Service Client
9,Le SAV a traité ma demande de remboursement en quelques minutes.,Positif,Service Client
10,Mon avis : Tarif tout à fait raisonnable et accessible.,Positif,Prix
11,"Excellent rapport qualité prix, je rachèterai sans hésiter.",Positif,Prix
12,"Pour ma part, Un prix très compétitif pour une telle qualité de service. Déçu.",Positif,Prix
13,Le colis est arrivé ouvert et abîmé. Très mécontent.,Négatif,Livraison
14,"Reçu très rapidement, emballage soigné et sécurisé. à voir dans le temps.",Positif,Livraison
15,Prix correct pour les prestations fournies.,Neutre,Prix
16,"Retard de livraison inadmissible, aucun suivi disponible.",Négatif,Livraison
17,Support client réactif et très professionnel. Problème résolu !.,Positif,Service Client
18,Ne correspond pas du tout à la photo ni à la description.,Négatif,Produit
19,Le prix est prohibitif par rapport aux performances du produit. Je conseille.,Négatif,Prix
20,Mon avis : Le SAV a traité ma demande de remboursement en quelques minutes.,Positif,Service Client
21,"Bonjour, Je l'utilise tous les jours, c'est un produit génial !",Positif,Produit
22,Colis reçu. Rien à signaler de particulier.,Neutre,Livraison
23,"Ni cher ni bon marché, tarif normal.",Neutre,Prix
24,SAV poli mais procédure d'échange un peu longue.,Neutre,Service Client
25,Le prix est prohibitif par rapport aux performances du produit.,Négatif,Prix
26,"Produit défectueux à l'arrivée, impossible de l'allumer.",Négatif,Produit
27,"Pour ma part, Temps d'attente correct pour joindre le support.",Neutre,Service Client
28,Service après-vente incompétent qui n'a pas compris mon problème. !,Négatif,Service Client
29,Livré avec un jour de retard mais carton intact.,Neutre,Livraison
30,Remplacement du produit défectueux fait sans aucun frais ni discussion.,Positif,Service Client
31,"Pour ma part, Le colis est arrivé ouvert et abîmé. Très mécontent.",Négatif,Livraison
32,"Bonjour, Correct dans l'ensemble, mais quelques détails à améliorer.",Neutre,Produit
33,"Plastique de mauvaise qualité, très fragile, je ne recommande pas.",Négatif,Produit
34,"Délai d'attente interminable pour la livraison, plus d'une semaine de retard.",Négatif,Livraison
35,"Service client au top, aimable et très efficace.",Positif,Service Client
36,Le support a été d'une grande aide pour configurer l'appareil.,Positif,Service Client
37,Le prix est prohibitif par rapport aux performances du produit.,Négatif,Prix
38,"Honnêtement, Livreur désagréable qui a laissé le colis sur le trottoir.",Négatif,Livraison
39,"Délai d'attente interminable pour la livraison, plus d'une semaine de retard.",Négatif,Livraison
